animal_ID,treatment_odor,larvae_length_mm,minutes_past_L,starved,sex,median_conc,median_speed,time_move,time_wall,bins_per_distance,discovery_time,cd_move,cd_speed,c_speed,cd_turn,c_turn
170407-05-top,naive_100ul_left_milliQ_water,5.9,297,no,f,12.284875,0.7738075358945777,0.5734149054505006,0.6012235817575083,0.3030464769617767,68.5,0.03019538188277087,-0.09716338668989688,0.07618584810243412,-0.06822028546166475,0.042182293149354455
170407-06-top,naive_100ul_left_milliQ_water,5.7,330,no,f,44.28608333333334,0.5472952058219569,0.23804226918798665,0.6924360400444939,0.39105343223483363,352.5,-0.030100334448160536,-0.0824335879076259,0.030860221147442135,0.04317062248096737,0.06913154069767447
170407-07-top,naive_100ul_left_milliQ_water,6.2,363,no,f,16.655958333333334,1.4019129960673302,0.7363737486095662,0.4744160177975528,0.16689794078960637,7.0,-0.018561484918793503,0.20686969063814686,-0.046206106627427745,-0.05812156362246024,0.14963503649635035
170407-08-top,naive_100ul_left_milliQ_water,6.0,396,no,m,3.621875,0.6547901407646094,0.29477196885428253,0.517797552836485,0.4254929636494115,1.0,-0.09941520467836257,-0.03234898391991725,-0.10034539917451024,0.08911301464492949,-0.007400257400257404
170407-09-top,naive_100ul_left_milliQ_water,6.0,430,no,m,3.221791666666667,0.44842903012480134,0.12402669632925473,0.6373748609566184,0.6051788477495204,39.5,-0.23529411764705882,-0.060877449888388724,1.151170393273323,-0.00366300366300365,-0.6561085972850679
170407-10-top,naive_100ul_left_milliQ_water,6.2,465,no,f,1.774625,0.5696009398820391,0.40155728587319245,0.7552836484983315,0.3593566814331225,554.0,-0.06293706293706294,-0.08157710794364914,0.01943359249883414,0.09033778476040849,0.037232342601470125
170413-12-top,naive_100ul_left_milliQ_water,6.2,392,no,m,40.242333333333335,0.46754492274245646,0.1423012784880489,0.8888271261812117,0.47094386630177865,39.0,0.047619047619047616,-0.06263685938867691,0.00988800706496118,-0.1333333333333333,0.07116212338593975
170413-13-top,naive_100ul_left_milliQ_water,6.7,425,no,m,13.079583333333336,0.47206124465651644,0.3144129104062326,0.7401224262659989,0.4652096038986059,51.5,-0.07142857142857142,0.06785012958949044,-0.058134418591192116,-0.01858974358974358,0.15205239446020358
170413-14-top,naive_100ul_left_milliQ_water,7.3,460,no,f,14.62425,0.4465838935388724,0.4671857619577308,0.6746384872080089,0.3961380477463085,373.0,-0.05785123966942149,0.0015086056529977077,0.0302159555695668,-0.008223684210526327,0.07291666666666663
170413-15-top,naive_100ul_left_milliQ_water,6.7,492,no,f,27.403083333333335,0.6950230018836698,0.5244716351501668,0.6373748609566184,0.3101581110420478,28.5,0.045774647887323945,-0.011067772796053532,-0.027762738274567877,0.027147241169381386,0.09435433169872998
170414-16-top,naive_100ul_left_milliQ_water,7.6,295,no,f,18.046416666666666,0.658006820645332,0.4452473596442468,0.7565314063368538,0.28968973435377615,16.0,-0.023017902813299233,0.10544791964020717,-0.007952342587112193,-0.020445026178010473,0.05246658967167134
170414-17-top,naive_100ul_left_milliQ_water,7.5,329,no,f,5.287375000000001,0.34451067366037524,0.20800889877641823,0.710789766407119,0.40839475069729164,112.0,0.043478260869565216,-0.02081395020578991,0.008235832572504154,-0.07727272727272722,-0.1200604838709678
170414-18-top,naive_100ul_left_milliQ_water,6.2,362,no,f,30.8965,0.5295117554730957,0.3770856507230256,0.47052280311457173,0.41669014390289266,1.0,-0.018072289156626505,-0.030472082977886394,-0.041129755760793085,-0.0009801430282789236,0.22034602076124565
170414-19-top,naive_100ul_left_milliQ_water,7.2,396,no,f,2.3165,0.3575320846396484,0.22123401889938854,0.9282934963868816,0.45704008342273944,900.0,-0.15384615384615385,0.11286222749560171,-0.3575320846396484,0.022222222222222143,-0.628140703517588
170414-20-top,naive_100ul_left_milliQ_water,6.7,430,no,f,43.966499999999996,0.3935491805575604,0.10734149054505006,0.19076751946607343,0.5307901166893559,1.5,0.12408759124087591,0.010567773216494936,-0.05624518616473384,0.11038961038961037,-0.03542708106933268
170428-01-bottom,naive_100ul_left_food_05percent,5.6,309,1day,m,30.853583333333333,0.5783035815382837,0.4733036707452725,0.6507230255839822,0.4100989020329698,168.5,0.0326530612244898,0.06540240287967358,-0.008781767001045937,-0.08922466269742002,0.046113787594812494
170428-01-top,naive_100ul_left_food_05percent,6.8,309,1day,f,14.415625,0.5791826892562407,0.6229143492769744,0.5300333704115684,0.34623170620797766,11.5,0.020793950850661626,0.016300350701975108,0.036997951293971654,0.01690261690261685,0.13341865301551747
170428-02-bottom,naive_100ul_left_food_05percent,6.4,345,1day,m,12.699000000000002,0.518987374834738,0.5214007782101168,0.651473040578099,0.45415739034964714,25.0,0.0228310502283105,0.013189576053838525,0.0495060525205151,0.012558411214953269,-0.011281518539781432
170428-02-top,naive_100ul_left_food_05percent,6.5,345,1day,f,21.471583333333335,1.0804140247194278,0.567853170189099,0.7102335928809789,0.2383167898050685,94.0,-0.02092050209205021,0.07219537692088207,-0.05567905176296928,0.002335248236887577,0.06138349790035186
170428-03-bottom,naive_100ul_left_food_05percent,6.2,381,1day,f,16.773249999999994,0.6900654039494614,0.3600445186421814,0.5180856983861992,0.3862068975638876,63.0,0.0,0.04228495465468152,0.051312007961770045,0.0,-0.10025436850254366
170428-03-top,naive_100ul_left_food_05percent,5.7,381,1day,m,11.335458333333333,0.6491706267733458,0.7575083426028921,0.6373748609566184,0.3696013317743875,209.0,0.0076103500761035,-0.027501962287075465,-0.10914096169643406,-0.012297740626100506,0.09519192431766288
170428-04-bottom,naive_100ul_left_food_05percent,6.1,418,1day,f,20.055791666666668,0.7555657842116095,0.6140155728587319,0.4888765294771969,0.28449306697835725,59.5,-0.022222222222222223,0.03329061249731102,0.019613463286874744,0.012845849802371578,-0.04710156373400726
170428-04-top,naive_100ul_left_food_05percent,6.1,418,1day,f,12.268916666666666,0.6145261424999342,0.6423804226918799,0.42436040044493883,0.37602723273129773,166.0,-0.060240963855421686,-0.020442705506054648,-0.11370883784787766,-0.005494505494505475,0.12193012181419327
170428-05-bottom,naive_100ul_left_food_05percent,5.9,456,1day,f,19.379375000000003,0.5304760829005664,0.550055617352614,0.38765294771968856,0.4866834052534631,340.0,0.03260869565217391,-0.02643795084603251,0.011823636625350353,-0.01573033707865168,0.08053993847459429
170428-05-top,naive_100ul_left_food_05percent,7.1,456,1day,f,6.3225,0.4605778696552254,0.39877641824249166,0.5027808676307007,0.5242003548338985,345.5,-0.010380622837370242,0.04380851849313294,0.047509730052505195,0.04416131813392088,0.07819726285983958
170501-01-bottom,naive_100ul_left_food_05percent,5.4,415,1day,f,2.2893333333333334,0.6105163659491903,0.2753058954393771,0.7335928809788654,0.5332388484080534,51.0,0.08571428571428572,0.10204122238269508,-0.08642828742403774,0.03026315789473688,-0.07731864654333004
